[BBR-LOG] T=0.512 s, Send=36.65 Mbps, Recv=0.58 Mbps, Total=37.23 Mbps, EstBW=27.39 Mbps, PacingRate=79.06 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=15.36 Mbps, RTT=61809 us, MinRTT=33373 us, CWND=338894 B, InFlight=154560 B, Lost=0, State=STARTUP, Pkts=63/0, Bytes=92736/1472
[BBR-LOG] T=0.510 s, Send=63.98 Mbps, Recv=0.05 Mbps, Total=64.03 Mbps, EstBW=41.89 Mbps, PacingRate=120.94 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=33.48 Mbps, RTT=65800 us, MinRTT=34660 us, CWND=589777 B, InFlight=457792 B, Lost=0, State=STARTUP, Pkts=83/0, Bytes=122176/96
[BBR-LOG] T=0.516 s, Send=52.48 Mbps, Recv=0.11 Mbps, Total=52.59 Mbps, EstBW=15.49 Mbps, PacingRate=5.33 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=0.34 Mbps, RTT=63730 us, MinRTT=39917 us, CWND=244986 B, InFlight=239102 B, Lost=0, State=DRAIN, Pkts=119/0, Bytes=175168/369
[BBR-LOG] T=0.519 s, Send=23.10 Mbps, Recv=0.43 Mbps, Total=23.53 Mbps, EstBW=22.71 Mbps, PacingRate=65.55 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=22.12 Mbps, RTT=53969 us, MinRTT=49207 us, CWND=295931 B, InFlight=152653 B, Lost=0, State=STARTUP, Pkts=108/0, Bytes=158541/2947
[BBR-LOG] T=0.552 s, Send=49.36 Mbps, Recv=0.20 Mbps, Total=49.56 Mbps, EstBW=27.39 Mbps, PacingRate=79.06 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=20.24 Mbps, RTT=56965 us, MinRTT=33373 us, CWND=338894 B, InFlight=338560 B, Lost=0, State=STARTUP, Pkts=167/0, Bytes=245824/998
[BBR-LOG] T=0.549 s, Send=12.81 Mbps, Recv=0.22 Mbps, Total=13.03 Mbps, EstBW=15.49 Mbps, PacingRate=5.33 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=5.84 Mbps, RTT=57334 us, MinRTT=39917 us, CWND=228160 B, InFlight=225216 B, Lost=4, State=DRAIN, Pkts=36/4, Bytes=52992/897
[BBR-LOG] T=0.555 s, Send=110.08 Mbps, Recv=0.05 Mbps, Total=110.13 Mbps, EstBW=60.25 Mbps, PacingRate=173.94 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=53.23 Mbps, RTT=63193 us, MinRTT=34660 us, CWND=789969 B, InFlight=736000 B, Lost=0, State=STARTUP, Pkts=417/0, Bytes=613824/278
[BBR-LOG] T=0.562 s, Send=8.24 Mbps, Recv=0.31 Mbps, Total=8.55 Mbps, EstBW=27.39 Mbps, PacingRate=79.06 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=12.97 Mbps, RTT=61798 us, MinRTT=33373 us, CWND=338894 B, InFlight=307648 B, Lost=0, State=STARTUP, Pkts=7/0, Bytes=10304/383
[BBR-LOG] T=0.560 s, Send=59.89 Mbps, Recv=0.92 Mbps, Total=60.81 Mbps, EstBW=15.49 Mbps, PacingRate=5.33 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=12.81 Mbps, RTT=65114 us, MinRTT=39917 us, CWND=223744 B, InFlight=220800 B, Lost=3, State=DRAIN, Pkts=54/3, Bytes=79488/1218
[BBR-LOG] T=0.564 s, Send=23.89 Mbps, Recv=0.37 Mbps, Total=24.26 Mbps, EstBW=25.05 Mbps, PacingRate=72.32 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=17.31 Mbps, RTT=60333 us, MinRTT=49207 us, CWND=448584 B, InFlight=133770 B, Lost=0, State=STARTUP, Pkts=93/0, Bytes=133799/2096
[BBR-LOG] T=0.569 s, Send=67.02 Mbps, Recv=0.11 Mbps, Total=67.13 Mbps, EstBW=69.18 Mbps, PacingRate=199.69 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=57.10 Mbps, RTT=62785 us, MinRTT=34660 us, CWND=922449 B, InFlight=657984 B, Lost=0, State=STARTUP, Pkts=83/0, Bytes=122176/192
