[BBR-LOG] T=0.966 s, Send=1262.05 Mbps, Recv=2.29 Mbps, Total=1264.34 Mbps, EstBW=747.98 Mbps, PacingRate=560.99 Mbps, PacingGain=0.75x, CwndGain=2.00x, DeliveryRate=437.26 Mbps, RTT=34662 us, MinRTT=28854 us, CWND=5582250 B, InFlight=5379720 B, Lost=379, State=PROBE_BW, Pkts=1334/379, Bytes=1883608/3417, SendDelay=36290 us, AckDelay=35495 us
[BBR-LOG] T=0.982 s, Send=1073.26 Mbps, Recv=2.44 Mbps, Total=1075.71 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=450.41 Mbps, RTT=33239 us, MinRTT=28854 us, CWND=5973374 B, InFlight=5734132 B, Lost=459, State=PROBE_BW, Pkts=1446/459, Bytes=2041752/4648, SendDelay=36708 us, AckDelay=38973 us
[BBR-LOG] T=0.994 s, Send=1106.97 Mbps, Recv=0.42 Mbps, Total=1107.39 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=411.39 Mbps, RTT=34014 us, MinRTT=28854 us, CWND=5638730 B, InFlight=5563280 B, Lost=771, State=PROBE_BW, Pkts=1184/771, Bytes=1671808/627, SendDelay=39623 us, AckDelay=48271 us
[BBR-LOG] T=1.009 s, Send=750.87 Mbps, Recv=1.88 Mbps, Total=752.75 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=424.81 Mbps, RTT=34844 us, MinRTT=28854 us, CWND=5205246 B, InFlight=5118500 B, Lost=824, State=PROBE_BW, Pkts=1026/824, Bytes=1448712/3625, SendDelay=35362 us, AckDelay=40843 us
[BBR-LOG] T=1.023 s, Send=922.74 Mbps, Recv=2.99 Mbps, Total=925.73 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=348.08 Mbps, RTT=35143 us, MinRTT=28854 us, CWND=4876250 B, InFlight=4631360 B, Lost=864, State=PROBE_BW, Pkts=1150/864, Bytes=1623800/5255, SendDelay=31668 us, AckDelay=38131 us
[BBR-LOG] T=1.034 s, Send=846.44 Mbps, Recv=2.21 Mbps, Total=848.66 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=395.60 Mbps, RTT=34928 us, MinRTT=28854 us, CWND=4687042 B, InFlight=4021376 B, Lost=674, State=PROBE_BW, Pkts=782/674, Bytes=1104184/2889, SendDelay=33297 us, AckDelay=37177 us
[BBR-LOG] T=1.050 s, Send=506.43 Mbps, Recv=0.74 Mbps, Total=507.17 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=246.80 Mbps, RTT=33716 us, MinRTT=28854 us, CWND=3839842 B, InFlight=3716384 B, Lost=780, State=PROBE_BW, Pkts=744/780, Bytes=1050528/1539, SendDelay=34658 us, AckDelay=36662 us
[BBR-LOG] T=1.062 s, Send=885.50 Mbps, Recv=3.61 Mbps, Total=889.11 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=251.71 Mbps, RTT=32683 us, MinRTT=28854 us, CWND=3282102 B, InFlight=3023092 B, Lost=891, State=PROBE_BW, Pkts=896/891, Bytes=1265152/5162, SendDelay=34469 us, AckDelay=35273 us
[BBR-LOG] T=1.072 s, Send=377.98 Mbps, Recv=2.54 Mbps, Total=380.51 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=236.33 Mbps, RTT=32523 us, MinRTT=28854 us, CWND=2790726 B, InFlight=2469588 B, Lost=540, State=PROBE_BW, Pkts=340/540, Bytes=480080/3221, SendDelay=32942 us, AckDelay=34988 us
[BBR-LOG] T=1.091 s, Send=221.94 Mbps, Recv=1.86 Mbps, Total=223.81 Mbps, EstBW=641.38 Mbps, PacingRate=641.38 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=199.10 Mbps, RTT=32949 us, MinRTT=28854 us, CWND=2595870 B, InFlight=1955620 B, Lost=439, State=PROBE_BW, Pkts=376/439, Bytes=530912/4460, SendDelay=31510 us, AckDelay=36480 us
[BBR-LOG] T=1.109 s, Send=659.04 Mbps, Recv=1.52 Mbps, Total=660.56 Mbps, EstBW=641.38 Mbps, PacingRate=801.72 Mbps, PacingGain=1.25x, CwndGain=2.00x, DeliveryRate=213.09 Mbps, RTT=32299 us, MinRTT=28854 us, CWND=2142618 B, InFlight=1821480 B, Lost=722, State=PROBE_BW, Pkts=1028/722, Bytes=1451536/3345, SendDelay=33036 us, AckDelay=33344 us
[BBR-LOG] T=1.128 s, Send=286.26 Mbps, Recv=0.51 Mbps, Total=286.77 Mbps, EstBW=641.38 Mbps, PacingRate=641.38 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=120.65 Mbps, RTT=32762 us, MinRTT=28854 us, CWND=2170858 B, InFlight=2115176 B, Lost=131, State=PROBE_BW, Pkts=490/131, Bytes=691880/1233, SendDelay=32419 us, AckDelay=35110 us
[BBR-LOG] T=1.143 s, Send=796.06 Mbps, Recv=1.09 Mbps, Total=797.15 Mbps, EstBW=641.38 Mbps, PacingRate=641.38 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=197.46 Mbps, RTT=32690 us, MinRTT=28854 us, CWND=2288054 B, InFlight=2173068 B, Lost=483, State=PROBE_BW, Pkts=1090/483, Bytes=1539080/2107, SendDelay=32869 us, AckDelay=33523 us
[BBR-LOG] T=1.165 s, Send=241.87 Mbps, Recv=0.76 Mbps, Total=242.63 Mbps, EstBW=641.38 Mbps, PacingRate=481.03 Mbps, PacingGain=0.75x, CwndGain=2.00x, DeliveryRate=193.35 Mbps, RTT=32853 us, MinRTT=28854 us, CWND=2317706 B, InFlight=2098232 B, Lost=253, State=PROBE_BW, Pkts=474/253, Bytes=669288/2101, SendDelay=34480 us, AckDelay=35930 us
[BBR-LOG] T=1.177 s, Send=1020.17 Mbps, Recv=1.18 Mbps, Total=1021.35 Mbps, EstBW=641.38 Mbps, PacingRate=641.38 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=217.93 Mbps, RTT=33387 us, MinRTT=28854 us, CWND=2199098 B, InFlight=2132120 B, Lost=560, State=PROBE_BW, Pkts=1060/560, Bytes=1496720/1735, SendDelay=33136 us, AckDelay=32862 us
